REFERENCE_NON_TROUVEE,MATCH_1,SCORE_1,MATCH_2,SCORE_2,MATCH_3,SCORE_3,MATCH_4,SCORE_4,MATCH_5,SCORE_5
21102-00145-044,2110200145044,92.85714285714286,2110200145004,85.71428571428572,2110200145024,85.71428571428572,2110200145034,85.71428571428572,2110200145040,85.71428571428572
21102-00145-046,2110200145046,92.85714285714286,2110200145004,85.71428571428572,2110200145006,85.71428571428572,2110200145024,85.71428571428572,2110200145026,85.71428571428572
21102-00145-049,2110200145049,92.85714285714286,2110200145004,85.71428571428572,2110200145009,85.71428571428572,2110200145024,85.71428571428572,2110200145034,85.71428571428572
21102-00213-002,2110200213002,92.85714285714286,2110200213001,85.71428571428572,2110200350012,78.57142857142857,2110200350020,78.57142857142857,2110200350021,78.57142857142857
21102-00901-032,2110200901032,92.85714285714286,2110200901003,85.71428571428572,2110200901013,85.71428571428572,2110200901020,85.71428571428572,2110200901021,85.71428571428572
21102-00906-035,2110200906035,92.85714285714286,2110200906003,85.71428571428572,2110200906013,85.71428571428572,2110200906043,85.71428571428572,2110200906050,85.71428571428572
21102-05362-008,2110205362008,92.85714285714286,2110205361008,85.71428571428572,2110205362003,85.71428571428572,2110205362004,85.71428571428572,2110205362006,85.71428571428572
21102-05364-013,2110205364013,92.85714285714286,2110205354013,85.71428571428572,2110205364010,85.71428571428572,2110205364012,85.71428571428572,2110205364014,85.71428571428572
21103-00049-021,2110300049021,92.85714285714286,2110300049015,85.71428571428572,2110300049020,85.71428571428572,2110300049004,78.57142857142857,2110300049005,78.57142857142857
21103-00080-008,2110300080008,92.85714285714286,2110300050008,85.71428571428572,2110300080002,85.71428571428572,2110300080003,85.71428571428572,2110300080004,85.71428571428572
21104-00095-523,2110400095523,92.85714285714286,2110400095502,85.71428571428572,2110400095503,85.71428571428572,2110400095512,85.71428571428572,2110400095520,85.71428571428572
21104-00099-003,2110400099003,92.85714285714286,2110400014003,78.57142857142857,2110400093001,78.57142857142857,2110400093002,78.57142857142857,2110400093004,78.57142857142857
21111-11911-001,2111111911001,92.85714285714286,2111111910001,85.71428571428572,2111111911002,85.71428571428572,2111111911003,85.71428571428572,2111111911005,85.71428571428572
21111-11942-001,2111111942001,92.85714285714286,2111111912001,85.71428571428572,2111111914001,85.71428571428572,2111111920001,85.71428571428572,2111111932001,85.71428571428572
21111-11976-001,2111111976001,92.85714285714286,2111111973001,85.71428571428572,2111111976000,85.71428571428572,2111111976002,85.71428571428572,2111111996001,85.71428571428572
21111-31258-002,2111131258002,92.85714285714286,2111131258000,85.71428571428572,2111131258001,85.71428571428572,2111131258003,85.71428571428572,2111131259003,78.57142857142857
21111-31260-003,2111131260003,92.85714285714286,2111131260000,85.71428571428572,2111111920003,78.57142857142857,2111112001003,78.57142857142857,2111131258000,78.57142857142857
21111-35911-002,2111135911002,92.85714285714286,2111135911001,85.71428571428572,2111135912002,85.71428571428572,2111135921002,85.71428571428572,2111111911002,78.57142857142857
21111-35920-003,2111135920003,92.85714285714286,2111135920001,85.71428571428572,2111135922003,85.71428571428572,2111111920003,78.57142857142857,2111131259003,78.57142857142857
21115-00005-000,2111500005000,92.85714285714286,2111500001000,85.71428571428572,2111500003000,85.71428571428572,2111500004000,85.71428571428572,2111500006000,85.71428571428572
21115-00010-000,2111500010000,92.85714285714286,2111500001000,85.71428571428572,2111500003000,85.71428571428572,2111500004000,85.71428571428572,2111500005000,85.71428571428572
21115-00011-000,2111500011000,92.85714285714286,2111500001000,85.71428571428572,2111500010000,85.71428571428572,2511500011000,85.71428571428572,1110800101000,78.57142857142857
21116-02293-009,2111602293009,92.85714285714286,2111602293001,85.71428571428572,2111602224009,78.57142857142857,2111604293001,78.57142857142857,2111605293001,78.57142857142857
21116-04993-010,2111604993010,92.85714285714286,2111604993005,85.71428571428572,2111604993007,85.71428571428572,2111604993011,85.71428571428572,2111604293001,78.57142857142857
21116-60100-001,2111660100001,92.85714285714286,2111660100002,85.71428571428572,2111660100003,85.71428571428572,2111660100004,85.71428571428572,2111660100008,85.71428571428572
21199-15011-008,2119915011008,92.85714285714286,2119915011002,85.71428571428572,2119915011003,85.71428571428572,2119915011004,85.71428571428572,2119915011009,85.71428571428572
21202-20536-001,2120220536001,92.85714285714286,2110205360001,78.57142857142857,2120220537000,78.57142857142857,2110205350001,71.42857142857143,2110205361008,71.42857142857143
21203-00080-001,2120300080001,92.85714285714286,2120300080002,85.71428571428572,2110200008001,78.57142857142857,2110300080002,78.57142857142857,2110300080003,78.57142857142857
21299-00050-003,2129900050003,92.85714285714286,2129900001003,85.71428571428572,2129900006003,85.71428571428572,2129900007003,85.71428571428572,2129900009003,85.71428571428572
21299-00058-003,2129900058003,92.85714285714286,2129900025003,85.71428571428572,2129900028003,85.71428571428572,2129900035003,85.71428571428572,2129900045003,85.71428571428572
21299-00105-005,2129900105005,92.85714285714286,2129900101005,85.71428571428572,2129900102005,85.71428571428572,2129900710500,85.71428571428572,2129900810500,85.71428571428572
21299-00378-001,2129900378001,92.85714285714286,2129900307001,85.71428571428572,2129900317001,85.71428571428572,2129900318001,85.71428571428572,2129900327001,85.71428571428572
21299-00502-503,2129900502503,92.85714285714286,2129900025003,85.71428571428572,2129900501503,85.71428571428572,2129900503503,85.71428571428572,2129900504503,85.71428571428572
21299-00510-503,2129900510503,92.85714285714286,2129900501503,85.71428571428572,2129900502503,85.71428571428572,2129900503503,85.71428571428572,2129900504503,85.71428571428572
21299-00537-503,2129900537503,92.85714285714286,2129900503503,85.71428571428572,2129900507503,85.71428571428572,2129900513503,85.71428571428572,2129900523503,85.71428571428572
21299-00707-500,2129900707500,92.85714285714286,2129900075004,85.71428571428572,2129900700500,85.71428571428572,2129900701500,85.71428571428572,2129900703500,85.71428571428572
21299-00709-500,2129900709500,92.85714285714286,2129900700500,85.71428571428572,2129900701500,85.71428571428572,2129900703500,85.71428571428572,2129900704500,85.71428571428572
21299-00711-500,2129900711500,92.85714285714286,2129900701500,85.71428571428572,2129900710500,85.71428571428572,2129900712500,85.71428571428572,2129900713500,85.71428571428572
21299-00720-500,2129900720500,92.85714285714286,2129900700500,85.71428571428572,2129900701500,85.71428571428572,2129900703500,85.71428571428572,2129900704500,85.71428571428572
21299-00731-500,2129900731500,92.85714285714286,2129900701500,85.71428571428572,2129900703500,85.71428571428572,2129900710500,85.71428571428572,2129900711500,85.71428571428572
21299-00746-500,2129900746500,92.85714285714286,2129900704500,85.71428571428572,2129900706500,85.71428571428572,2129900714500,85.71428571428572,2129900716500,85.71428571428572
21299-00789-500,2129900789500,92.85714285714286,2129900708500,85.71428571428572,2129900709500,85.71428571428572,2129900718500,85.71428571428572,2129900728500,85.71428571428572
21299-00790-500,2129900790500,92.85714285714286,2129900700500,85.71428571428572,2129900701500,85.71428571428572,2129900703500,85.71428571428572,2129900704500,85.71428571428572
21299-00871-500,2129900871500,92.85714285714286,2129900701500,85.71428571428572,2129900710500,85.71428571428572,2129900711500,85.71428571428572,2129900712500,85.71428571428572
21299-00877-500,2129900877500,92.85714285714286,2129900707500,85.71428571428572,2129900717500,85.71428571428572,2129900727500,85.71428571428572,2129900737500,85.71428571428572
